Detalle_ID;Factura;Num_Tracking;Categoria;Subcategoria;Producto_ID;Producto;Unidades;Precio_Unitario;Oferta_ID
84266;SO63479;;Accessories;Tires and Tubes;229;ML Road Tire;1;24.99;1
83996;SO63371;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84029;SO63386;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;2
84032;SO63387;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;2
84244;SO63471;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
83987;SO63367;;Accessories;Helmets;4;Sport-100 Helmet, Red;1;34.99;1
84199;SO63456;;Accessories;Helmets;4;Sport-100 Helmet, Red;1;34.99;1
84026;SO63385;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84028;SO63386;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84031;SO63387;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84150;SO63434;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84198;SO63456;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84228;SO63467;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84105;SO63417;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84110;SO63418;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84143;SO63431;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84214;SO63462;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84059;SO63400;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84106;SO63417;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84215;SO63462;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
83986;SO63367;;Bikes;Road Bikes;93;Road-250 Black, 58;1;2443.35;1
84152;SO63434;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84234;SO63468;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84260;SO63477;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84263;SO63478;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84268;SO63479;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84145;SO63431;;Clothing;Jerseys;10;Long-Sleeve Logo Jersey, S;1;49.99;1
84261;SO63477;;Clothing;Jerseys;12;Long-Sleeve Logo Jersey, L;1;49.99;1
84027;SO63385;;Accessories;Hydration Packs;177;Hydration Pack - 70 oz.;1;54.99;1
83995;SO63371;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2294.99;1
84135;SO63427;;Accessories;Tires and Tubes;227;HL Mountain Tire;1;35;1
84197;SO63456;;Accessories;Tires and Tubes;227;HL Mountain Tire;1;35;1
84229;SO63467;;Accessories;Tires and Tubes;227;HL Mountain Tire;1;35;1
84006;SO63376;;Accessories;Bottles and Cages;168;Mountain Bottle Cage;1;9.99;1
84231;SO63467;;Accessories;Bottles and Cages;168;Mountain Bottle Cage;1;9.99;1
84007;SO63376;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84025;SO63384;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84108;SO63418;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
