Detalle_ID;Factura;Num_Tracking;Categoria;Subcategoria;Producto_ID;Producto;Unidades;Precio_Unitario;Oferta_ID
83979;SO63363;;Accessories;Tires and Tubes;229;ML Road Tire;1;24.99;1
84034;SO63389;;Accessories;Tires and Tubes;229;ML Road Tire;1;24.99;1
83980;SO63363;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84177;SO63444;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84194;SO63453;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;2
84226;SO63466;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84272;SO63481;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84060;SO63401;;Accessories;Fenders;175;Fender Set - Mountain;1;21.98;1
84088;SO63410;;Accessories;Fenders;175;Fender Set - Mountain;1;21.98;1
84128;SO63425;;Accessories;Fenders;175;Fender Set - Mountain;1;21.98;1
84157;SO63436;;Accessories;Fenders;175;Fender Set - Mountain;1;21.98;1
84021;SO63382;;Accessories;Cleaners;174;Bike Wash - Dissolver;1;7.95;1
84227;SO63466;;Accessories;Cleaners;174;Bike Wash - Dissolver;1;7.95;1
84042;SO63392;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84193;SO63453;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84158;SO63436;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84162;SO63437;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84130;SO63425;;Clothing;Jerseys;178;Short-Sleeve Classic Jersey, S;1;53.99;1
84016;SO63380;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84064;SO63401;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84129;SO63425;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84159;SO63436;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84192;SO63452;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84242;SO63470;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84089;SO63410;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84224;SO63465;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
83988;SO63368;;Bikes;Mountain Bikes;280;Mountain-400-W Silver, 46;1;769.49;1
84063;SO63401;;Clothing;Jerseys;10;Long-Sleeve Logo Jersey, S;1;49.99;1
83989;SO63368;;Clothing;Shorts;164;Women's Mountain Shorts, S;1;69.99;1
84015;SO63380;;Clothing;Shorts;164;Women's Mountain Shorts, S;1;69.99;1
83990;SO63368;;Clothing;Socks;172;Racing Socks, L;1;8.99;1
84065;SO63402;;Clothing;Jerseys;13;Long-Sleeve Logo Jersey, XL;1;49.99;1
84223;SO63465;;Accessories;Hydration Packs;177;Hydration Pack - 70 oz.;1;54.99;1
84087;SO63410;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2319.99;1
84271;SO63481;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2319.99;1
84225;SO63466;;Accessories;Tires and Tubes;227;HL Mountain Tire;1;35;1
84221;SO63465;;Accessories;Tires and Tubes;231;Touring Tire;1;28.99;1
84222;SO63465;;Accessories;Tires and Tubes;220;Touring Tire Tube;1;4.99;1
84010;SO63378;;Accessories;Bottles and Cages;168;Mountain Bottle Cage;1;9.99;1
84061;SO63401;;Accessories;Bottles and Cages;168;Mountain Bottle Cage;1;9.99;1
84011;SO63378;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84020;SO63382;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84062;SO63401;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84098;SO63413;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84161;SO63437;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84191;SO63452;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84008;SO63377;;Clothing;Shorts;166;Women's Mountain Shorts, L;1;69.99;1
84181;SO63446;;Clothing;Shorts;166;Women's Mountain Shorts, L;1;69.99;1
84240;SO63470;;Clothing;Shorts;166;Women's Mountain Shorts, L;1;69.99;1
84009;SO63377;;Clothing;Jerseys;179;Short-Sleeve Classic Jersey, M;1;53.99;1
84012;SO63378;;Clothing;Jerseys;181;Short-Sleeve Classic Jersey, XL;1;53.99;1
84160;SO63436;;Clothing;Jerseys;181;Short-Sleeve Classic Jersey, XL;1;53.99;1
84035;SO63389;;Accessories;Tires and Tubes;219;Road Tire Tube;1;3.99;1
84041;SO63392;;Accessories;Tires and Tubes;226;ML Mountain Tire;1;29.99;1
84241;SO63470;;Clothing;Jerseys;180;Short-Sleeve Classic Jersey, L;1;53.99;1
84097;SO63413;;Accessories;Bottles and Cages;169;Road Bottle Cage;1;8.99;1
84096;SO63413;;Bikes;Road Bikes;294;Road-750 Black, 44;1;539.99;1
84127;SO63425;;Bikes;Mountain Bikes;278;Mountain-400-W Silver, 40;1;769.49;2
84239;SO63470;;Bikes;Mountain Bikes;278;Mountain-400-W Silver, 40;1;769.49;1
84176;SO63444;;Accessories;Tires and Tubes;230;HL Road Tire;1;32.6;1
84286;SO63486;;Bikes;Touring Bikes;276;Touring-3000 Blue, 50;1;742.35;1
84287;SO63486;;Accessories;Tires and Tubes;231;Touring Tire;1;28.99;1
84294;SO63489;;Bikes;Road Bikes;296;Road-750 Black, 52;1;539.99;1
84295;SO63489;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84296;SO63489;;Accessories;Bottles and Cages;169;Road Bottle Cage;1;8.99;1
84297;SO63489;;Clothing;Vests;161;Classic Vest, S;1;63.5;1
84310;SO63495;;Bikes;Touring Bikes;252;Touring-1000 Yellow, 50;1;2384.07;1
84311;SO63495;;Accessories;Bottles and Cages;169;Road Bottle Cage;1;8.99;1
84312;SO63495;;Accessories;Bottles and Cages;167;Water Bottle - 30 oz.;1;4.99;1
84313;SO63495;;Accessories;Helmets;4;Sport-100 Helmet, Red;1;34.99;1
84314;SO63495;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84319;SO63498;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84320;SO63498;;Clothing;Gloves;156;Half-Finger Gloves, M;1;24.49;1
