Detalle_ID;Factura;Num_Tracking;Categoria;Subcategoria;Producto_ID;Producto;Unidades;Precio_Unitario;Oferta_ID
83999;SO63373;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84002;SO63374;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;2
84045;SO63393;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84132;SO63426;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84255;SO63474;;Accessories;Tires and Tubes;170;Patch Kit/8 Patches;1;2.29;1
84154;SO63435;;Accessories;Fenders;175;Fender Set - Mountain;1;21.98;1
84196;SO63455;;Accessories;Fenders;175;Fender Set - Mountain;1;21.98;1
84133;SO63426;;Accessories;Cleaners;174;Bike Wash - Dissolver;1;7.95;1
84038;SO63390;;Accessories;Helmets;4;Sport-100 Helmet, Red;1;34.99;1
84246;SO63472;;Accessories;Helmets;4;Sport-100 Helmet, Red;1;34.99;1
84195;SO63454;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84254;SO63474;;Accessories;Tires and Tubes;218;Mountain Tire Tube;1;4.99;1
84118;SO63421;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84123;SO63423;;Accessories;Helmets;5;Sport-100 Helmet, Black;1;34.99;1
84183;SO63447;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84257;SO63476;;Clothing;Caps;9;AWC Logo Cap;1;8.99;1
84086;SO63409;;Accessories;Helmets;8;Sport-100 Helmet, Blue;1;34.99;1
84247;SO63472;;Clothing;Jerseys;10;Long-Sleeve Logo Jersey, S;1;49.99;1
84014;SO63379;;Clothing;Shorts;164;Women's Mountain Shorts, S;1;69.99;1
84202;SO63457;;Clothing;Jerseys;12;Long-Sleeve Logo Jersey, L;1;49.99;1
84018;SO63381;;Accessories;Hydration Packs;177;Hydration Pack - 70 oz.;1;54.99;1
84091;SO63411;;Accessories;Hydration Packs;177;Hydration Pack - 70 oz.;1;54.99;1
83997;SO63372;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2319.99;1
84090;SO63411;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2319.99;1
84245;SO63472;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2319.99;1
83998;SO63372;;Accessories;Tires and Tubes;227;HL Mountain Tire;1;35;1
