Detalle_ID;Factura;Num_Tracking;Categoria;Subcategoria;Producto_ID;Producto;Unidades;Precio_Unitario;Oferta_ID
27618;SO49393;;Bikes;Road Bikes;91;Road-250 Black, 48;1;2181.5625;1
27452;SO49227;;Bikes;Road Bikes;87;Road-250 Red, 48;1;2443.35;2
27572;SO49347;;Bikes;Road Bikes;87;Road-250 Red, 48;1;2443.35;2
27635;SO49410;;Bikes;Road Bikes;87;Road-250 Red, 48;1;2443.35;2
27640;SO49415;;Bikes;Road Bikes;88;Road-250 Red, 52;1;2443.35;1
27409;SO49184;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2049.0982;2
27469;SO49244;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2049.0982;2
27485;SO49260;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2049.0982;2
27504;SO49279;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2049.0982;2
27539;SO49314;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2049.0982;2
27548;SO49323;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2049.0982;2
27617;SO49392;;Bikes;Mountain Bikes;81;Mountain-200 Black, 46;1;2049.0982;2
27439;SO49214;;Bikes;Road Bikes;93;Road-250 Black, 58;1;2181.5625;1
27443;SO49218;;Bikes;Road Bikes;93;Road-250 Black, 58;1;2181.5625;1
27463;SO49238;;Bikes;Road Bikes;93;Road-250 Black, 58;1;2181.5625;1
27595;SO49370;;Bikes;Road Bikes;93;Road-250 Black, 58;1;2181.5625;1
27616;SO49391;;Bikes;Road Bikes;93;Road-250 Black, 58;1;2181.5625;1
27413;SO49188;;Bikes;Mountain Bikes;79;Mountain-200 Black, 38;1;2049.0982;1
27538;SO49313;;Bikes;Mountain Bikes;79;Mountain-200 Black, 38;1;2049.0982;1
27417;SO49192;;Bikes;Road Bikes;97;Road-550-W Yellow, 44;1;1000.4375;1
27544;SO49319;;Bikes;Road Bikes;97;Road-550-W Yellow, 44;1;1000.4375;1
27554;SO49329;;Bikes;Road Bikes;97;Road-550-W Yellow, 44;1;1000.4375;1
27574;SO49349;;Bikes;Mountain Bikes;80;Mountain-200 Black, 42;1;2049.0982;1
27614;SO49389;;Bikes;Road Bikes;63;Road-650 Black, 60;1;782.99;1
27420;SO49195;;Bikes;Road Bikes;56;Road-650 Red, 58;1;782.99;1
27513;SO49288;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2071.4196;1
27555;SO49330;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2071.4196;1
27631;SO49406;;Bikes;Mountain Bikes;77;Mountain-200 Silver, 42;1;2071.4196;1
27594;SO49369;;Bikes;Road Bikes;67;Road-650 Black, 52;1;782.99;1
27649;SO49424;;Bikes;Road Bikes;67;Road-650 Black, 52;1;782.99;1
27535;SO49310;;Bikes;Road Bikes;64;Road-650 Black, 62;1;782.99;1
27605;SO49380;;Bikes;Road Bikes;64;Road-650 Black, 62;1;782.99;1
27425;SO49200;;Bikes;Road Bikes;86;Road-250 Red, 44;1;2443.35;1
27519;SO49294;;Bikes;Road Bikes;86;Road-250 Red, 44;1;2443.35;1
27639;SO49414;;Bikes;Road Bikes;86;Road-250 Red, 44;1;2443.35;1
